date,CO,NO2,SO2
2025-01-29,0.0262655727565288,,
2025-02-01,,1.67384525866e-05,
2025-02-02,0.0288654025644063,,
2025-02-03,,2.6723425889e-06,
2025-02-04,0.0291604716330766,1.56473142851e-05,
2025-02-05,0.0279785438130299,1.87562091014e-05,
2025-02-06,0.0317536368966102,1.75594153309e-05,
2025-02-08,,1.81375230567e-05,
2025-02-13,0.0277325933178265,2.95184254355e-05,
2025-02-14,0.033940315246582,,
2025-02-15,,1.41218438329e-05,
2025-02-16,,8.8688928675e-06,
2025-02-19,,2.78549759968e-05,
2025-02-21,0.0314589810247222,,
2025-02-25,,1.05524827631e-05,
2025-02-28,0.0294821436206499,2.45246854319e-05,
2025-03-01,0.0328489001840353,1.56462642735e-05,
2025-03-02,0.0301055796444416,,
2025-03-03,0.0295217484235763,,
2025-03-04,0.023536130785942,2.58451121529e-05,
2025-03-05,0.0283401415993769,,
2025-03-08,0.0214767605066299,,
2025-03-10,0.0265384125523269,,
2025-03-11,0.0234930304189523,4.0782163068e-06,
2025-03-12,0.0246430918574333,1.38671503009e-05,
2025-03-16,0.0259177200496196,,
2025-03-18,0.026062511652708,,
2025-03-20,0.0278600938618183,2.19890889638e-05,
2025-03-21,0.0280447049687306,2.35238630921e-05,
2025-03-26,0.0276704343656698,1.29581509706e-05,
2025-03-28,,1.31922327758e-05,
2025-04-01,0.0284641860052943,2.13243297366e-05,
2025-04-02,0.0274287434294819,1.66016598086e-05,
2025-04-03,0.0349960178136825,3.0844585126e-05,
2025-04-04,,2.35507571536e-05,
2025-04-06,0.02611253131181,1.16085131291e-05,
2025-04-07,0.0245748776942491,,
2025-04-08,0.0260201357305049,2.45883050714e-05,
2025-04-13,0.0260737929493188,1.26967926917e-05,
2025-04-16,0.0299120699055492,2.35069310292e-05,
2025-04-17,0.0303694070316851,1.01119774929e-05,
2025-04-18,0.0231304578483104,,
2025-04-19,,3.0683680355e-05,
2025-04-22,0.025970422104001,3.06793153868e-05,
2025-04-23,0.0252976045012474,2.51947681135e-05,
2025-04-24,0.0259669255465269,1.54462754835e-05,
2025-04-26,0.02815368399024,,
2025-04-27,0.0285819076622525,,
2025-04-28,0.0233817001183827,1.24305773094e-05,
2025-04-29,0.0243764761835336,1.79000474721e-05,
2025-04-30,,3.77602846128e-05,
2025-05-01,0.0289399474859237,1.91416641731e-05,
2025-05-02,,-2.419088446e-06,
2025-05-03,0.0260044671595096,,
2025-05-04,0.0258326958864927,,
2025-05-05,0.0249554996068278,2.29229281103e-05,
2025-05-07,0.0265850002566973,2.04252264666e-05,
2025-05-10,0.0263950079679489,,
2025-05-11,,5.1083975449e-06,
2025-05-14,0.0285256995509068,1.88972891237e-05,
2025-05-20,0.0256383549422025,2.48491651291e-05,
2025-05-21,0.0298198480159044,,
2025-05-24,0.0286516913523276,1.08677890239e-05,
2025-05-25,0.0232431900997956,1.47901500895e-05,
2025-05-28,0.0266576421757539,,
2025-05-29,0.02729073446244,1.46315305755e-05,
2025-05-30,0.0281588342040777,,
2025-05-31,,2.43227586906e-05,
2025-06-02,0.0259629376232624,2.20934289245e-05,
2025-06-03,0.0247308043763041,2.72955306475e-05,
