C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2026-08-26T00:00:00.000Z,1842.44140625,1842.44140625,1842.44140625,0,6,5,1842.44140625,1842.44140625,1842.44140625
2026-08-21T00:00:00.000Z,1902.2637939453125,1902.2637939453125,1902.2637939453125,0,6,5,1902.2637939453125,1902.2637939453125,1902.2637939453125
2026-08-16T00:00:00.000Z,1900.1104736328125,1918.2591552734375,1909.184814453125,9.0743408203125,6,4,1918.2591552734375,1918.2591552734375,1918.2591552734375
2026-08-14T00:00:00.000Z,1910.967041015625,1910.967041015625,1910.967041015625,0,6,3,1910.967041015625,1910.967041015625,1910.967041015625
2026-08-10T00:00:00.000Z,1926.82861328125,1926.82861328125,1926.82861328125,0,6,5,1926.82861328125,1926.82861328125,1926.82861328125
2026-08-09T00:00:00.000Z,1822.9771728515625,1896.91796875,1867.341650390625,36.22344422528944,6,1,1896.91796875,1822.9771728515625,1896.91796875
2026-07-10T00:00:00.000Z,1869.63720703125,1869.63720703125,1869.63720703125,0,6,2,1869.63720703125,1869.63720703125,1869.63720703125
2026-06-30T00:00:00.000Z,1899.728515625,1906.9906005859375,1905.53818359375,2.9048339843749797,6,1,1906.9906005859375,1906.9906005859375,1906.9906005859375
2026-06-19T00:00:00.000Z,1885.1917724609375,1885.1917724609375,1885.1917724609375,0,6,3,1885.1917724609375,1885.1917724609375,1885.1917724609375
2026-06-07T00:00:00.000Z,1868.9842529296875,1868.9842529296875,1868.9842529296875,0,6,2,1868.9842529296875,1868.9842529296875,1868.9842529296875
2026-06-02T00:00:00.000Z,1900.69287109375,1900.69287109375,1900.69287109375,0,6,4,1900.69287109375,1900.69287109375,1900.69287109375
2026-04-20T00:00:00.000Z,1864.5001220703125,1864.5001220703125,1864.5001220703125,0,6,5,1864.5001220703125,1864.5001220703125,1864.5001220703125
2026-01-30T00:00:00.000Z,1942.42724609375,1957.40283203125,1949.4634602864585,5.394261950634481,6,0,1951.5078125,1942.42724609375,1957.40283203125
2025-09-23T00:00:00.000Z,1880.0621337890625,1880.0621337890625,1880.0621337890625,0,6,0,1880.0621337890625,1880.0621337890625,1880.0621337890625
